Date,Price,Open,High,Low,Vol.,Change %
9/8/2017,41.818,41.322,42.397,40.785,2.03M,1.30%
9/11/2017,40.744,41.653,41.653,40.744,820.90K,-2.57%
9/12/2017,40.744,40.165,40.744,40.165,2.13M,0.00%
9/13/2017,39.752,40.744,40.785,39.669,1.19M,-2.43%
9/14/2017,40.620,39.298,41.322,39.298,1.26M,2.18%
9/15/2017,40.413,39.835,40.909,39.835,4.28M,-0.51%
9/18/2017,40.496,40.413,40.826,40.331,374.37K,0.21%
9/19/2017,40.578,40.496,40.744,40.372,819.38K,0.20%
9/20/2017,40.496,40.578,40.620,40.248,710.28K,-0.20%
9/21/2017,40.578,40.496,40.578,39.711,777.58K,0.20%
9/22/2017,40.578,40.661,41.074,39.917,768.89K,0.00%
9/25/2017,40.496,40.496,40.744,40.331,1.20M,-0.20%
9/26/2017,40.826,40.496,41.281,40.331,1.33M,0.81%
9/27/2017,42.231,41.157,42.562,41.157,1.95M,3.44%
9/28/2017,41.983,42.479,42.810,41.983,970.76K,-0.59%
9/29/2017,42.314,41.736,42.314,41.736,933.47K,0.79%
10/2/2017,42.149,42.314,42.397,42.066,870.11K,-0.39%
10/3/2017,42.231,42.231,43.388,42.231,3.56M,0.19%
10/4/2017,42.975,42.479,42.975,42.314,2.34M,1.76%
10/5/2017,43.554,43.058,43.967,42.975,1.98M,1.35%
10/6/2017,43.471,43.554,43.719,43.223,1.51M,-0.19%
10/9/2017,42.975,43.306,43.306,42.397,793.58K,-1.14%
10/10/2017,43.140,42.562,43.140,41.901,2.19M,0.38%
10/11/2017,45.372,43.140,45.372,43.140,2.20M,5.17%
10/12/2017,45.455,45.041,46.116,44.545,1.16M,0.18%
10/13/2017,46.281,45.041,46.281,44.959,1.41M,1.82%
10/16/2017,45.124,46.281,46.446,45.124,1.41M,-2.50%
10/17/2017,45.702,45.289,46.116,45.041,740.21K,1.28%
10/18/2017,45.372,45.702,46.033,45.372,780.70K,-0.72%
10/19/2017,45.455,45.372,45.620,45.041,789.25K,0.18%
10/20/2017,45.702,45.455,46.116,45.124,2.06M,0.54%
10/23/2017,45.785,45.785,45.950,45.455,1.26M,0.18%
10/24/2017,45.868,45.868,46.116,45.207,1.23M,0.18%
10/25/2017,45.702,45.868,45.950,45.455,773.76K,-0.36%
10/26/2017,45.702,45.702,45.785,43.802,1.72M,0.00%
10/27/2017,47.107,46.116,47.438,45.620,2.28M,3.07%
10/30/2017,47.934,47.438,48.347,47.190,1.84M,1.76%
10/31/2017,48.347,48.182,48.595,47.686,1.48M,0.86%
11/1/2017,48.430,48.430,48.595,48.099,1.75M,0.17%
11/2/2017,49.587,48.430,49.587,48.347,1.69M,2.39%
11/3/2017,49.752,49.504,50.083,48.760,1.49M,0.33%
11/6/2017,50.000,49.917,50.248,49.587,1.24M,0.50%
11/7/2017,51.240,50.248,51.653,49.835,1.99M,2.48%
11/8/2017,54.132,52.893,54.215,51.653,2.46M,5.64%
11/9/2017,56.694,55.785,57.851,55.372,2.30M,4.73%
11/10/2017,54.545,56.033,57.851,53.967,2.47M,-3.79%
11/13/2017,56.694,54.545,56.694,53.967,1.47M,3.94%
11/14/2017,56.694,56.612,57.438,55.702,2.05M,0.00%
11/15/2017,57.025,56.694,57.438,55.620,2.92M,0.58%
11/16/2017,57.769,56.198,57.769,56.198,1.75M,1.30%
11/17/2017,59.008,58.017,59.504,57.769,1.90M,2.14%
11/20/2017,63.058,59.339,63.058,59.091,2.37M,6.86%
11/21/2017,63.636,64.463,67.438,63.223,4.55M,0.92%
11/22/2017,62.810,63.636,65.124,60.744,2.02M,-1.30%
11/23/2017,63.223,62.810,64.297,62.149,1.58M,0.66%
11/24/2017,61.570,63.223,63.223,61.570,1.04M,-2.61%
11/27/2017,62.810,61.157,65.702,59.504,2.60M,2.01%
11/28/2017,62.975,64.050,65.207,62.810,2.16M,0.26%
11/29/2017,62.975,63.636,63.636,62.893,1.60M,0.00%
11/30/2017,61.570,62.975,63.388,61.570,2.09M,-2.23%
12/1/2017,61.653,61.570,62.314,60.992,1.17M,0.13%
12/4/2017,62.893,62.066,63.802,61.570,2.08M,2.01%
12/5/2017,60.331,63.636,64.876,58.512,4.46M,-4.07%
12/6/2017,60.331,60.826,60.826,57.769,3.24M,0.00%
12/7/2017,59.504,59.917,60.992,58.678,1.22M,-1.37%
12/8/2017,60.331,58.843,60.744,57.438,2.14M,1.39%
12/11/2017,59.504,59.504,60.496,58.678,1.28M,-1.37%
12/12/2017,58.843,60.331,60.413,57.025,1.38M,-1.11%
12/13/2017,59.504,59.091,59.669,58.595,662.60K,1.12%
12/14/2017,59.504,59.421,59.917,58.678,577.42K,0.00%
12/15/2017,58.017,58.430,59.256,57.934,5.06M,-2.50%
12/18/2017,61.157,59.008,61.157,59.008,1.45M,5.41%
12/19/2017,60.744,61.653,62.397,60.578,1.22M,-0.68%
12/20/2017,60.744,60.578,61.074,59.835,1.82M,0.00%
12/21/2017,60.331,61.074,62.397,60.331,2.08M,-0.68%
12/22/2017,62.479,60.909,62.479,60.661,2.73M,3.56%
12/25/2017,64.463,62.810,64.463,62.645,1.69M,3.18%
12/26/2017,64.463,64.711,65.289,64.297,2.79M,0.00%
12/27/2017,63.802,64.463,65.289,63.388,3.54M,-1.03%
12/28/2017,63.967,64.050,64.876,63.967,1.34M,0.26%
12/29/2017,63.884,64.132,66.033,63.636,2.55M,-0.13%
1/2/2018,64.628,64.132,64.876,63.967,1.74M,1.16%
1/3/2018,66.529,65.702,68.760,64.959,6.07M,2.94%
1/4/2018,66.942,67.355,68.678,66.529,3.55M,0.62%
1/5/2018,66.116,66.942,66.942,65.289,3.42M,-1.23%
1/8/2018,66.364,66.116,67.686,65.372,4.81M,0.38%
1/9/2018,66.612,66.859,68.182,66.116,3.97M,0.37%
1/10/2018,66.777,66.942,68.017,66.612,4.27M,0.25%
1/11/2018,66.942,66.777,67.934,66.198,3.91M,0.25%
1/12/2018,70.578,67.355,71.322,67.190,6.83M,5.43%
1/15/2018,72.066,71.405,73.388,71.157,4.83M,2.11%
1/16/2018,71.074,72.066,72.314,70.248,4.88M,-1.38%
1/17/2018,69.421,71.074,71.736,68.595,4.43M,-2.33%
1/18/2018,69.752,68.595,69.752,66.529,3.05M,0.48%
1/19/2018,69.421,70.248,71.240,69.421,5.50M,-0.47%
1/22/2018,70.248,69.835,70.744,69.421,2.39M,1.19%
1/25/2018,70.331,70.248,73.967,70.248,7.86M,0.12%
1/26/2018,70.661,71.074,71.488,70.165,2.27M,0.47%
1/29/2018,70.661,71.074,72.149,70.413,1.99M,0.00%
1/30/2018,70.248,70.661,70.909,69.008,3.06M,-0.58%
1/31/2018,71.074,70.661,73.058,70.331,6.25M,1.18%
2/1/2018,71.570,72.314,72.562,70.248,2.96M,0.70%
2/2/2018,72.066,71.488,73.140,71.488,5.01M,0.69%
2/5/2018,67.025,70.578,71.074,67.025,3.13M,-6.99%
2/6/2018,67.025,62.397,67.025,62.397,7.76M,0.00%
2/7/2018,66.942,67.769,68.512,66.942,1.90M,-0.12%
2/8/2018,65.289,66.116,66.942,65.289,1.25M,-2.47%
2/9/2018,64.628,62.810,64.959,61.570,1.83M,-1.01%
2/12/2018,69.091,65.289,69.091,65.289,1.70M,6.91%
2/13/2018,71.157,70.248,71.901,69.421,1.65M,2.99%
2/21/2018,74.380,72.645,76.033,72.149,3.67M,4.53%
2/22/2018,74.793,74.380,76.033,73.636,2.49M,0.56%
2/23/2018,75.702,75.207,76.033,75.207,1.59M,1.22%
2/26/2018,78.512,76.033,79.752,76.033,3.22M,3.71%
2/27/2018,77.273,79.752,80.083,76.446,2.80M,-1.58%
2/28/2018,78.430,76.281,78.595,76.281,2.00M,1.50%
3/1/2018,77.686,78.017,79.174,77.107,1.49M,-0.95%
3/2/2018,78.099,76.033,78.926,76.033,1.06M,0.53%
3/5/2018,77.686,78.512,82.314,77.686,2.37M,-0.53%
3/6/2018,81.405,79.339,81.405,77.686,1.89M,4.79%
3/7/2018,81.488,81.405,82.645,79.752,1.88M,0.10%
3/8/2018,85.289,80.992,86.281,80.909,3.02M,4.66%
3/9/2018,85.537,85.289,87.603,82.645,3.86M,0.29%
3/12/2018,82.645,85.124,86.033,82.397,5.03M,-3.38%
3/13/2018,84.793,82.645,85.041,82.562,1.65M,2.60%
3/14/2018,84.711,84.711,86.694,84.711,2.48M,-0.10%
3/15/2018,82.231,85.041,85.041,82.231,3.37M,-2.93%
3/16/2018,82.397,82.149,83.471,82.149,3.74M,0.20%
3/19/2018,86.281,82.810,86.777,82.810,1.45M,4.71%
3/20/2018,86.116,85.124,87.190,85.124,1.27M,-0.19%
3/21/2018,89.256,86.694,89.752,86.364,4.26M,3.65%
3/22/2018,89.256,90.083,91.488,89.256,2.74M,0.00%
3/23/2018,90.496,87.273,91.901,87.190,4.18M,1.39%
3/26/2018,94.050,90.909,96.777,89.669,5.67M,3.93%
3/27/2018,93.388,96.694,97.355,93.306,3.81M,-0.70%
